model,inner_cv_roc_mean,inner_cv_roc_std,raw_holdout_roc,raw_holdout_ap,normalized_eval_roc,normalized_eval_ap,alpha_015_tpr,alpha_015_fpr,alpha_015_balanced_accuracy
indep,0.649227,0.047186,0.506,0.390,0.532,0.547,0.050,0.050,0.500
lstm,0.721652,0.015017,0.570,0.411,0.613,0.608,0.273,0.117,0.578
